Date_Hist,Sales_Hist,Date_Future,PredictedSales
2015-05-31,0,2025-09-01,5055.78
2015-05-30,5592,2025-09-02,5055.78
2015-05-29,4656,2025-09-03,5055.78
2015-05-28,4111,2025-09-04,5055.78
2015-05-27,4083,2025-09-05,5055.78
2015-05-26,4211,2025-09-06,5055.78
2015-05-25,0,2025-09-07,5055.78
2015-05-24,0,2025-09-08,5055.78
2015-05-23,4276,2025-09-09,5055.78
2015-05-22,4459,2025-09-10,5055.78
2015-05-21,3755,2025-09-11,5055.78
2015-05-20,4735,2025-09-12,5055.78
2015-05-19,5235,2025-09-13,5055.78
2015-05-18,5280,2025-09-14,5055.78
2015-05-17,0,2025-09-15,5055.78
2015-05-16,4431,2025-09-16,5055.78
2015-05-15,4178,2025-09-17,5055.78
2015-05-14,0,2025-09-18,5055.78
2015-05-13,3998,2025-09-19,5055.78
2015-05-12,3547,2025-09-20,5055.78
2015-05-11,3551,2025-09-21,5055.78
2015-05-10,0,2025-09-22,5055.78
2015-05-09,4945,2025-09-23,5055.78
2015-05-08,4683,2025-09-24,5055.78
2015-05-07,4529,2025-09-25,5055.78
2015-05-06,4960,2025-09-26,5055.78
2015-05-05,4564,2025-09-27,5055.78
2015-05-04,5591,2025-09-28,5055.78
2015-05-03,0,2025-09-29,5055.78
2015-05-02,5850,2025-09-30,5055.78
2015-05-01,0,,
